"State","OBchange'04 (in %)","OBchange'05 (in %)","OBchange'06 (in %)","OBchange'07 (in %)","OBchange'08 (in %)","OBchange'09 (in %)","OBchange'10 (in %)","OBchange'11 (in %)","OBchange'12 (in %)","ACchange'04 (in %)","ACchange'05 (in %)","ACchange'06 (in %)","ACchange'07 (in %)","ACchange'08 (in %)","ACchange'09 (in %)","ACchange'10 (in %)","ACchange'11 (in %)","ACchange'12 (in %)"
"Alabama",0,1.011,1.747,1.028,0.284,1.507,-0.045,0.203,0.16,0,0.413,0.237,-0.128,0.616,0.379,0.378,-1.767,-0.46
"Alaska",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona",0,0.293,1.307,1.587,0.74,1.713,0.027,0.147,-0.513,0,0.08,1.373,1.227,0.2,-0.107,-0.413,-0.78,0.513
"Arkansas",0,0.788,1.406,0.657,1.261,1.855,0.439,0.525,0.853,0,-0.143,0.359,-0.184,0.575,0.575,0.071,0.12,1.303
"California",0,0.443,0.717,1.21,0.922,0.397,-0.441,-0.319,0.221,0,-0.388,0.21,0.683,-0.236,-0.06,-0.876,-0.491,-0.19
"Colorado",0,0.137,1.491,0.553,0.545,1.223,0.484,0.255,-0.248,0,-0.339,-0.295,0.867,0.225,1.806,-0.608,-1.072,-0.022
"Connecticut",0,0.817,1.07,0.488,0.938,0.662,0.713,0.675,-0.062,0,0.175,0.512,0.263,0.875,0.712,0.087,-1.137,0.375
"Delaware",0,0.723,2.043,1.2,0.567,0.233,0.4,-0.367,0.633,0,-0.9,0.133,0.433,0.167,0.6,0.067,-0.467,0.9
"District of Columbia",0,1.09,0.41,0.5,-0.8,0.3,-0.5,0.5,0.6,0,0.1,-0.5,-0.2,-0.3,-0.2,-1,-1.2,-0.5
"Florida",0,0.517,2.402,0.407,0.415,2.342,0.204,0.163,0.067,0,-1.021,1.309,0.137,0.276,-0.031,0.104,-0.399,0.691
"Georgia",0,0.494,1.496,0.558,0.314,0.886,0.347,0.186,0.175,0,0.102,-0.503,-1.149,-0.329,0.482,0.725,-0.238,0.365
"Hawaii",0,1.542,0.178,0.54,0.38,1.56,-0.5,-0.12,-0.48,0,-0.48,-0.72,-0.26,0.14,0.26,0.96,-0.32,1.12
"Idaho",0,1.274,1.397,1.03,-0.08,1.098,0.034,0.755,0.436,0,0.432,-0.05,0.716,0.191,0.589,-0.87,-1.027,0.773
"Illinois",0,1.117,1.102,0.62,0.236,1.837,0.731,0.736,0.353,0,-0.798,-0.222,1.663,0.928,2.501,-1.221,-0.765,-0.766
"Indiana",0,1.143,1.162,0.553,0.691,1.746,0.3,0.124,-0.009,0,-0.576,0.136,0.054,1.54,0.662,0.48,-1.132,1.422
"Iowa",0,0.936,1.293,0.379,0.775,1.467,0.548,0.4,0.796,0,-0.589,-0.142,0.534,0.641,1.594,0.107,-0.979,1.019
"Kansas",0,1.019,1.525,1.491,1.225,1.94,0.315,0.179,-0.265,0,-0.449,0.168,0.485,0.081,0.882,0.177,-0.354,0.297
"Kentucky",0,1.432,1.293,0.908,0.618,1.91,-0.206,-0.314,0.618,0,0.255,0.38,-0.379,-0.361,-0.232,-0.943,-1.131,-0.545
"Louisiana",0,0.666,1.84,0.067,2.188,1.422,1.216,0.547,0.362,0,0.2,0.172,-0.583,-0.639,-0.556,0.814,-0.061,0.186
"Maine",0,0.681,0.957,0.863,1.131,1.625,0.175,0.05,-0.056,0,0.225,-0.65,0.212,0.356,0.831,-0.256,-0.812,-0.044
"Maryland",0,1.07,1.488,0.925,0.908,1.183,0.079,0.271,0.075,0,0.4,-0.267,0.304,0.529,0.75,-0.054,-0.971,0.308
"Massachusetts",0,1.544,1.17,0.3,0.314,0.821,0.15,-0.193,-0.043,0,0.2,-0.007,0.093,-0.029,-0.136,0.086,-1.193,0.364
"Michigan",0,0.639,0.809,1.349,1,1.427,0.135,0.165,0.141,0,0.58,-0.31,1.637,0.408,1.147,-1.372,-1.082,0.318
"Minnesota",0,0.634,0.846,0.841,0.395,0.769,0.034,-0.061,0.322,0,-0.002,0.061,1.16,0.479,3.102,1.07,-0.584,0.541
"Mississippi",0,1.294,1.52,0.91,0.991,1.006,0.307,-0.015,0.151,0,0.148,-0.01,0.117,0.346,-0.078,0.432,-0.452,1.057
"Missouri",0,1.497,1.349,0.443,0.181,1.55,0.478,0.084,0.487,0,-0.523,0.336,0.981,0.377,1.1,-0.31,-0.775,0.225
"Montana",0,0.916,0.668,0.829,0.296,1.193,0.132,0.309,0.327,0,-0.364,0.05,0.609,0.505,2.293,-0.011,-1.402,0.257
"Nebraska",0,0.84,1.479,0.996,0.525,0.709,0.462,0.018,0.52,0,0.618,0.777,1.631,0.446,1.187,0.368,-1.347,-0.125
"Nevada",0,2.466,2.352,1.553,-0.388,-0.118,-0.1,-0.488,0.047,0,1.282,0.388,1.606,-0.324,1.047,-1.388,-1.265,0.459
"New Hampshire",0,0.866,1.004,1.27,0.97,1.13,0.12,0.39,0.13,0,0.35,-0.22,0.28,0.53,0.75,-0.35,-0.9,-0.13
"New Jersey",0,0.745,0.25,0.986,0.852,0.919,-0.352,0.071,0.3,0,0.033,0.324,-0.429,0.19,0.357,-0.21,-0.757,-0.195
"New Mexico",0,0.751,0.87,0.673,1.261,1.476,0.424,0.188,-0.3,0,0.167,0.342,0.697,0.012,0.718,0.761,-0.733,0.518
"New York",0,1.061,1.271,1.04,1.008,0.924,-0.137,0.056,-0.113,0,0.19,0.302,0.863,0.495,0.474,-0.729,-0.66,0.211
"North Carolina",0,0.802,1.128,0.816,0.431,0.871,-0.375,0.248,0.411,0,-0.358,-0.155,0.109,0.437,0.68,0.405,-0.401,0.174
"North Dakota",0,0.821,0.517,0.83,0.306,2.238,0.468,-0.506,0.702,0,-0.83,0.217,0.826,0.823,1.925,0.196,-1.551,0.664
"Ohio",0,0.564,1.919,1.536,0.433,1.558,-0.228,0.409,0.373,0,-0.236,0.532,0.884,0.473,1.381,0.061,-0.484,0.319
"Oklahoma",0,0.92,0.888,1.44,1.118,1.483,0.718,0.282,0.427,0,-0.629,0.827,0.051,0.788,0.46,0.143,-0.839,0.301
"Oregon",0,0.592,1.361,0.556,-0.064,0.442,0.444,0.625,-0.119,0,-0.028,-0.319,-0.522,0.606,0.772,-0.244,-1.208,0.017
"Pennsylvania",0,0.196,1.09,1.039,1.024,1.151,0.149,0.499,0.188,0,-0.103,-0.209,0.431,1.26,0.676,-0.336,-1.407,0.06
"Puerto Rico",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island",0,1.068,1.432,-0.06,1.58,1.22,0.44,-0.06,0.52,0,0.46,-0.14,-0.24,0.44,0.26,0.5,-1.2,0.26
"South Carolina",0,1.332,1.287,0.809,0.907,1.917,0.28,0.276,-0.028,0,0.25,0.141,0.6,1.141,1.061,-0.926,-1.026,-0.243
"South Dakota",0,0.528,0.652,0.944,0.835,2.382,0.086,-0.658,0.118,0,0.692,1.235,1.02,0.179,1.4,-0.255,-2.014,-1.062
"Tennessee",0,1.235,1.529,1.185,1.239,1.124,-0.151,-0.062,0.431,0,-0.142,1.585,-1.538,0.16,-0.979,1.762,-0.702,2.264
"Texas",0,0.528,1.146,0.682,0.494,1.852,0.266,0.124,0.22,0,0.93,1.322,0.759,-0.177,0.478,-0.281,-0.888,0.694
"Utah",0,0.627,0.918,1.007,0.934,1.048,0.093,-0.307,0.169,0,0.734,1.29,1.034,-0.941,-0.621,0.024,-1.224,1.066
"Vermont",0,1.096,1.183,0.793,0.343,1.429,0.686,-0.307,-0.071,0,-0.086,0.179,0.157,0.507,0.286,0.05,-0.914,0.679
"Virginia",0,1.221,1.463,0.478,0.077,1.72,0.393,-0.049,-0.451,0,-0.34,0.486,0.403,0.351,1.019,-0.264,-0.952,0.175
"Washington",0,0.639,1.235,0.821,0.962,0.928,0.369,-0.374,0.033,0,-0.138,0.003,0.621,0.718,0.39,0.485,-0.592,0.521
"West Virginia",0,1.086,1.105,0.664,0.413,1.515,0.187,0.515,0.889,0,-0.975,1.098,1.269,2.369,1.342,1.609,-1.193,-0.475
"Wisconsin",0,1.9,1.199,0.583,0.697,1.306,-0.029,-0.022,0.969,0,0.232,0.588,1.171,0.626,0.719,-0.358,-0.936,1.121
"Wyoming",0,0.76,1.414,0.657,0.591,0.574,-0.122,0.083,0.404,0,0.404,-0.174,1,-0.113,1.27,0.357,-0.817,-0.091
